id;cliente;accion_id;accion;operacion;cantidad_acciones;fecha_operacion;modo;operacion_exitosa;operacion_observaciones;ejecutada;reportada
1;24590;52072;paralelismo Ladrillo;Pizza enhance;64812;2023-10-23T22:29:25;ábanico;true;Joyería calculating;true;true
2;83919;33056;basado;SDD;78046;2023-10-24T09:13:50;override bus;false;dedicada Asistente virtual;true;false
3;63028;64064;Arrabal Morado;Lanka;41718;2023-10-23T22:39:46;input;false;Checking Futuro;true;false
4;49147;21254;XSS Apartamento;reboot front-end withdrawal;89202;2023-10-24T08:00:52;withdrawal Juguetería Savings;false;Terrenos Camino Parque;false;true
5;19344;43505;Refinado AI;invoice connecting front-end;98359;2023-10-24T04:07:23;interfaces;false;Sabroso;true;false
6;47074;37385;definición;Joyería Inversor;89521;2023-10-24T22:05:08;withdrawal;true;hack;false;false
7;96271;65516;payment Salud;Cantabria Solar;44946;2023-10-24T14:10:17;facilitate Naira;false;Azul Avenida Corporativo;false;false
8;15234;70561;Usabilidad;Credit Central;1372;2023-10-24T06:50:10;evolve Deportes Adelante;false;array wireless invoice;true;true
9;33582;8817;Artesanal;neural;34267;2023-10-24T14:33:47;Pizza FTP;false;panel HDD;false;true
10;96428;81562;Rojo Comunidad;withdrawal Práctico;83785;2023-10-24T06:54:08;Borders connecting seize;false;fuerza;false;true
